"pathway_id","pathway_name","n_genes","gene_names","gene_pvals","magma_pvalue"
"PWY-7995","tricin biosynthesis",24,"SORBI_3001G254800;SORBI_3001G336200;SORBI_3001G364200;SORBI_3001G369300;SORBI_3002G040400;SORBI_3002G040500;SORBI_3002G216100;SORBI_3002G216200;SORBI_3002G216400;SORBI_3002G216500;SORBI_3002G272700;SORBI_3002G367600;SORBI_3004G200800;SORBI_3004G200833;SORBI_3004G200900;SORBI_3004G201100;SORBI_3005G115800;SORBI_3005G214900;SORBI_3006G223001;SORBI_3007G044900;SORBI_3007G179750;SORBI_3007G218500;SORBI_3008G136500;SORBI_3009G162500","9.0137e-01;7.8571e-01;4.5831e-01;8.2776e-01;8.0008e-02;5.3064e-01;2.8563e-01;8.8431e-01;8.6643e-01;4.7554e-01;1.6634e-01;1.5059e-01;4.0187e-01;3.3458e-01;3.5234e-01;5.3384e-01;5.5498e-01;5.6414e-01;2.1450e-01;4.5246e-01;4.0605e-02;4.8898e-01;8.0523e-02;5.9019e-02",0.79596
"PWY-6367","D-<i>myo</i>-inositol-5-phosphate metabolism",8,"SORBI_3001G408001;SORBI_3002G430500;SORBI_3005G002000;SORBI_3005G018900;SORBI_3007G172200;SORBI_3008G002000;SORBI_3008G090600;SORBI_3009G027800","7.6333e-01;2.6485e-02;1.1150e-01;9.6716e-01;4.1631e-02;7.5378e-01;6.3878e-02;3.6895e-01",0.80094
"PWY-5980","xylogalacturonan biosynthesis",23,"SORBI_3001G387300;SORBI_3001G538700;SORBI_3002G062100;SORBI_3002G342300;SORBI_3003G102700;SORBI_3003G234701;SORBI_3003G331000;SORBI_3003G360300;SORBI_3003G405600;SORBI_3003G410600;SORBI_3003G410700;SORBI_3003G410800;SORBI_3004G070100;SORBI_3004G159100;SORBI_3004G213500;SORBI_3006G059000;SORBI_3006G260900;SORBI_3007G139300;SORBI_3008G021000;SORBI_3009G162700;SORBI_3009G220100;SORBI_3009G220200;SORBI_3010G059400","3.5801e-02;3.3780e-01;7.5975e-01;6.2315e-01;3.6808e-01;5.1148e-03;6.1659e-01;9.0753e-01;8.4729e-01;8.3943e-01;6.8118e-01;7.7959e-01;7.5524e-01;9.7664e-01;4.8176e-01;6.3591e-04;4.2429e-01;1.1892e-01;5.1822e-01;2.0495e-01;2.8433e-05;1.5630e-05;1.6316e-01",0.80668
"PWY-5143","long-chain fatty acid activation",18,"SORBI_3003G004900;SORBI_3003G242000;SORBI_3003G258200;SORBI_3003G303900;SORBI_3005G020300;SORBI_3005G033100;SORBI_3005G054900;SORBI_3005G156100;SORBI_3006G079500;SORBI_3006G247200;SORBI_3006G247300;SORBI_3006G272600;SORBI_3008G010800;SORBI_3008G051300;SORBI_3009G031400;SORBI_3010G045400;SORBI_3010G045500;SORBI_3010G214900","3.8984e-01;3.4265e-02;8.5146e-01;5.5405e-01;8.5740e-02;3.8643e-01;2.0825e-01;5.0089e-01;6.7757e-02;2.5289e-01;5.8442e-01;6.8862e-01;2.9948e-01;8.5213e-02;8.2706e-03;3.3460e-01;7.5815e-01;5.0362e-01",0.81364
"PWY-4321","L-glutamate degradation IV",10,"SORBI_3001G111000;SORBI_3001G443800;SORBI_3004G058600;SORBI_3004G182500;SORBI_3006G095700;SORBI_3006G096500;SORBI_3006G214200;SORBI_3007G009100;SORBI_3007G074500;SORBI_3007G152800","2.8422e-01;4.8149e-01;4.5061e-01;9.6491e-01;1.3647e-01;7.7571e-02;9.6967e-01;3.2266e-01;7.9543e-02;3.8054e-01",0.81539
"PWY-6717","(1,4)-&beta;-D-xylan degradation",25,"SORBI_3001G140300;SORBI_3001G439400;SORBI_3001G466000;SORBI_3001G466100;SORBI_3001G466400;SORBI_3002G053800;SORBI_3002G127400;SORBI_3002G217400;SORBI_3002G315000;SORBI_3003G082700;SORBI_3003G083000;SORBI_3003G085900;SORBI_3003G142100;SORBI_3004G154000;SORBI_3004G233700;SORBI_3005G110436;SORBI_3005G110457;SORBI_3005G110460;SORBI_3005G211500;SORBI_3006G032800;SORBI_3006G157700;SORBI_3006G235600;SORBI_3007G150100;SORBI_3008G096401;SORBI_3010G152900","6.4058e-02;7.3143e-01;3.1812e-01;3.2680e-01;6.9890e-01;4.3097e-01;7.0003e-01;8.5887e-01;3.1225e-01;4.2076e-01;7.3710e-01;8.8829e-01;1.0597e-01;7.3982e-01;3.7462e-01;4.1826e-01;5.6536e-01;7.0922e-01;7.4352e-01;6.0649e-01;3.9012e-01;2.9417e-02;8.0968e-03;8.0599e-01;1.6970e-01",0.81625
"PWY-5934","iron reduction and absorption",2,"SORBI_3001G142800;SORBI_3006G093100","3.8698e-01;3.0152e-01",0.81904
"PWY-6596","adenosine nucleotides degradation I",19,"SORBI_3001G069900;SORBI_3001G073500;SORBI_3001G125000;SORBI_3001G153300;SORBI_3001G325200;SORBI_3002G029600;SORBI_3002G072300;SORBI_3002G134400;SORBI_3002G206800;SORBI_3002G429700;SORBI_3003G061200;SORBI_3003G110400;SORBI_3003G113200;SORBI_3003G274200;SORBI_3004G326300;SORBI_3009G104800;SORBI_3009G133800;SORBI_3009G133900;SORBI_3009G134300","3.5807e-01;7.2840e-01;1.9769e-02;3.9739e-01;8.3426e-01;4.5223e-01;2.6871e-01;7.6468e-01;6.6106e-02;1.8774e-01;8.2422e-01;8.8526e-01;4.9014e-01;3.7120e-01;8.0855e-01;4.5198e-01;5.2925e-02;4.8556e-02;2.2937e-01",0.82545
"PWY-5172","acetyl-CoA biosynthesis III (from citrate)",3,"SORBI_3003G143700;SORBI_3005G222200;SORBI_3008G132700","2.6816e-01;4.8159e-01;6.3992e-01",0.82577
"PWY-5173","superpathway of acetyl-CoA biosynthesis",3,"SORBI_3003G143700;SORBI_3005G222200;SORBI_3008G132700","2.6816e-01;4.8159e-01;6.3992e-01",0.82577
"PWY-6124","inosine-5'-phosphate biosynthesis II",6,"SORBI_3001G392500;SORBI_3002G231500;SORBI_3003G028600;SORBI_3006G157000;SORBI_3006G213400;SORBI_3007G075200","5.4023e-01;8.4727e-01;3.6120e-03;4.6103e-01;2.5107e-01;9.8498e-01",0.83957
"ARGASEDEG-PWY","L-arginine degradation I (arginase pathway)",5,"SORBI_3001G156100;SORBI_3003G356000;SORBI_3006G004500;SORBI_3009G160100;SORBI_3009G212600","6.0344e-01;5.4059e-01;4.9245e-01;4.6109e-02;5.5719e-03",0.84239
"PROSYN-PWY","L-proline biosynthesis I",4,"SORBI_3003G356000;SORBI_3003G424300;SORBI_3007G143600;SORBI_3009G160100","5.4059e-01;8.2537e-01;8.5652e-01;4.6109e-02",0.84371
"PWY-6465","&omega;-hydroxylation of caprate and laurate",13,"SORBI_3001G514700;SORBI_3002G128900;SORBI_3002G265300;SORBI_3003G008200;SORBI_3003G008300;SORBI_3003G378301;SORBI_3005G232000;SORBI_3006G085601;SORBI_3006G175800;SORBI_3006G175900;SORBI_3007G195300;SORBI_3009G019301;SORBI_3009G114800","6.5342e-02;6.7860e-01;5.9284e-01;6.6419e-01;6.5119e-01;8.6831e-01;4.8782e-01;6.9956e-01;8.0195e-01;7.7077e-01;3.4700e-01;4.5525e-01;1.2016e-01",0.84638
"PWY-7199","pyrimidine deoxyribonucleosides salvage",8,"SORBI_3001G261480;SORBI_3001G324400;SORBI_3002G095300;SORBI_3003G275300;SORBI_3003G372900;SORBI_3005G115500;SORBI_3008G098400;SORBI_3009G148200","5.0522e-01;1.3882e-01;3.3895e-01;8.1002e-01;1.9727e-01;8.0140e-01;7.0241e-01;4.7703e-01",0.84947
"PWY-5936","xyloglucan biosynthesis",52,"SORBI_3001G075600;SORBI_3001G228900;SORBI_3001G229000;SORBI_3001G229100;SORBI_3001G303300;SORBI_3001G396600;SORBI_3001G396700;SORBI_3001G401600;SORBI_3001G506300;SORBI_3001G506500;SORBI_3001G506600;SORBI_3001G506700;SORBI_3001G506800;SORBI_3001G506900;SORBI_3001G541601;SORBI_3002G019100;SORBI_3002G019200;SORBI_3002G022700;SORBI_3002G116800;SORBI_3002G208200;SORBI_3002G225900;SORBI_3003G059600;SORBI_3003G308100;SORBI_3004G124800;SORBI_3004G125100;SORBI_3004G125300;SORBI_3004G164000;SORBI_3004G256400;SORBI_3004G308200;SORBI_3004G308300;SORBI_3004G308400;SORBI_3004G308500;SORBI_3004G308600;SORBI_3005G144000;SORBI_3005G144101;SORBI_3005G144500;SORBI_3006G097900;SORBI_3006G186100;SORBI_3006G186200;SORBI_3006G260900;SORBI_3007G090600;SORBI_3008G035700;SORBI_3008G035800;SORBI_3008G054100;SORBI_3008G077900;SORBI_3008G138100;SORBI_3009G194200;SORBI_3010G082000;SORBI_3010G082100;SORBI_3010G082201;SORBI_3010G082300;SORBI_3010G082400","7.5505e-01;4.9658e-01;5.4038e-01;9.8105e-01;2.9913e-01;8.1178e-01;8.0459e-01;5.9152e-01;2.1862e-01;8.1477e-01;8.5884e-01;6.8110e-01;1.7417e-01;6.3010e-01;2.0737e-01;8.3789e-01;8.0393e-01;3.4621e-01;4.9749e-01;1.6537e-01;4.2428e-01;9.8020e-02;3.3757e-01;5.0763e-01;7.9480e-01;6.4276e-02;8.5101e-01;5.3736e-02;3.8388e-02;4.0395e-02;2.4785e-01;5.7934e-01;5.9106e-01;2.4616e-01;2.0591e-01;8.2455e-01;1.3891e-01;2.4874e-02;3.1369e-02;4.2429e-01;6.8230e-01;4.4626e-02;4.7449e-02;8.2462e-01;4.3472e-01;6.3795e-01;6.9731e-04;7.1209e-01;6.8776e-01;8.8705e-01;8.1517e-01;8.2078e-01",0.85017
"PWY-5098","chlorophyll <i>a</i> degradation I",9,"SORBI_3001G048400;SORBI_3001G048500;SORBI_3001G048600;SORBI_3001G306600;SORBI_3001G504900;SORBI_3003G146500;SORBI_3004G327200;SORBI_3005G120000;SORBI_3007G010900","7.4791e-01;7.7521e-01;7.4581e-01;1.5886e-03;6.7799e-01;6.5903e-01;6.0938e-01;7.4222e-01;6.6901e-02",0.85333
"PWY-5837","2-carboxy-1,4-naphthoquinol biosynthesis",10,"SORBI_3001G131400;SORBI_3002G180400;SORBI_3003G380600;SORBI_3004G044200;SORBI_3004G193800;SORBI_3007G029300;SORBI_3008G190900;SORBI_3009G035100;SORBI_3009G035200;SORBI_3009G085400","1.7868e-01;5.1877e-01;9.4768e-01;8.3899e-01;6.5264e-01;4.8493e-01;4.8916e-01;5.5294e-01;4.7063e-01;9.5741e-01",0.85398
"PWY-8001","felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis",3,"SORBI_3002G317600;SORBI_3003G070800;SORBI_3006G104300","3.4453e-01;5.1718e-01;4.4717e-01",0.85499
"PWY-5410","traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis",20,"SORBI_3001G231400;SORBI_3001G231600;SORBI_3001G231700;SORBI_3001G338000;SORBI_3001G483400;SORBI_3002G046700;SORBI_3002G171600;SORBI_3004G007500;SORBI_3004G078600;SORBI_3004G328601;SORBI_3006G095600;SORBI_3006G209000;SORBI_3006G209200;SORBI_3006G209300;SORBI_3006G221850;SORBI_3007G210400;SORBI_3009G037100;SORBI_3009G161000;SORBI_3010G040200;SORBI_3010G040700","8.2245e-01;4.8238e-01;3.6810e-01;5.9777e-01;2.2184e-02;7.5441e-01;9.7385e-01;7.8686e-01;9.1551e-01;9.5566e-01;9.0433e-02;9.4840e-02;1.1804e-01;4.5974e-02;5.8061e-01;2.5355e-01;5.5282e-01;1.2263e-01;8.2445e-01;1.6174e-02",0.85849
"PWY-5142","acyl-[acyl-carrier protein] thioesterase pathway",9,"SORBI_3002G256800;SORBI_3002G256900;SORBI_3003G337500;SORBI_3004G293800;SORBI_3004G293900;SORBI_3004G294000;SORBI_3006G171900;SORBI_3006G259300;SORBI_3008G029200","9.3056e-02;2.3658e-01;5.3240e-01;9.3594e-03;1.3435e-02;2.0262e-02;4.1606e-01;6.0221e-01;3.7122e-01",0.86234
"PWY-5745","costunolide biosynthesis I",4,"SORBI_3005G211400;SORBI_3006G121800;SORBI_3009G064400;SORBI_3009G196700","8.7467e-01;7.5950e-01;9.1180e-02;7.9209e-03",0.86587
"PWY-3781","aerobic respiration I (cytochrome c)",298,"SORBI_3001G001200;SORBI_3001G003900;SORBI_3001G009400;SORBI_3001G010000;SORBI_3001G016100;SORBI_3001G016300;SORBI_3001G025800;SORBI_3001G033600;SORBI_3001G052100;SORBI_3001G058400;SORBI_3001G069300;SORBI_3001G072000;SORBI_3001G072900;SORBI_3001G073600;SORBI_3001G094600;SORBI_3001G115700;SORBI_3001G117600;SORBI_3001G134200;SORBI_3001G149100;SORBI_3001G151300;SORBI_3001G161100;SORBI_3001G164350;SORBI_3001G206700;SORBI_3001G212200;SORBI_3001G219700;SORBI_3001G230050;SORBI_3001G251750;SORBI_3001G256400;SORBI_3001G282300;SORBI_3001G282500;SORBI_3001G286200;SORBI_3001G292800;SORBI_3001G312700;SORBI_3001G332700;SORBI_3001G347100;SORBI_3001G392100;SORBI_3001G392800;SORBI_3001G399800;SORBI_3001G412200;SORBI_3001G423200;SORBI_3001G436600;SORBI_3001G440300;SORBI_3001G444200;SORBI_3001G458800;SORBI_3001G473400;SORBI_3001G478900;SORBI_3001G490700;SORBI_3001G491500;SORBI_3001G509600;SORBI_3001G509700;SORBI_3001G513000;SORBI_3001G519000;SORBI_3001G520700;SORBI_3002G007000;SORBI_3002G028700;SORBI_3002G034400;SORBI_3002G042900;SORBI_3002G048200;SORBI_3002G065200;SORBI_3002G084400;SORBI_3002G098600;SORBI_3002G110400;SORBI_3002G111700;SORBI_3002G120200;SORBI_3002G149000;SORBI_3002G149550;SORBI_3002G167400;SORBI_3002G172500;SORBI_3002G185100;SORBI_3002G198100;SORBI_3002G198801;SORBI_3002G200500;SORBI_3002G235600;SORBI_3002G240900;SORBI_3002G246200;SORBI_3002G251800;SORBI_3002G254500;SORBI_3002G267600;SORBI_3002G292300;SORBI_3002G308300;SORBI_3002G342600;SORBI_3002G356400;SORBI_3002G358900;SORBI_3002G384800;SORBI_3002G385200;SORBI_3002G389200;SORBI_3002G390200;SORBI_3002G395000;SORBI_3002G396700;SORBI_3002G403500;SORBI_3002G411700;SORBI_3003G014700;SORBI_3003G030100;SORBI_3003G034900;SORBI_3003G047400;SORBI_3003G109000;SORBI_3003G119100;SORBI_3003G128000;SORBI_3003G135600;SORBI_3003G137300;SORBI_3003G142400;SORBI_3003G168300;SORBI_3003G168600;SORBI_3003G170300;SORBI_3003G172966;SORBI_3003G173032;SORBI_3003G173200;SORBI_3003G182501;SORBI_3003G183900;SORBI_3003G202700;SORBI_3003G203100;SORBI_3003G218400;SORBI_3003G223000;SORBI_3003G236150;SORBI_3003G237100;SORBI_3003G239000;SORBI_3003G274800;SORBI_3003G276800;SORBI_3003G277100;SORBI_3003G279200;SORBI_3003G286200;SORBI_3003G289500;SORBI_3003G296800;SORBI_3003G299200;SORBI_3003G306800;SORBI_3003G322300;SORBI_3003G325900;SORBI_3003G333200;SORBI_3003G334200;SORBI_3003G336400;SORBI_3003G337200;SORBI_3003G350000;SORBI_3003G356100;SORBI_3003G377200;SORBI_3003G380100;SORBI_3003G398900;SORBI_3003G399100;SORBI_3003G399900;SORBI_3003G416200;SORBI_3003G419800;SORBI_3003G420000;SORBI_3003G429000;SORBI_3003G429200;SORBI_3003G429300;SORBI_3003G433600;SORBI_3003G440600;SORBI_3004G025100;SORBI_3004G027700;SORBI_3004G051600;SORBI_3004G053100;SORBI_3004G141600;SORBI_3004G155100;SORBI_3004G159000;SORBI_3004G164100;SORBI_3004G166400;SORBI_3004G174800;SORBI_3004G176500;SORBI_3004G199400;SORBI_3004G217900;SORBI_3004G241000;SORBI_3004G249200;SORBI_3004G250100;SORBI_3004G255300;SORBI_3004G266300;SORBI_3004G272600;SORBI_3004G282000;SORBI_3004G290400;SORBI_3004G291100;SORBI_3004G303466;SORBI_3004G312000;SORBI_3004G342100;SORBI_3004G344800;SORBI_3004G346200;SORBI_3004G356600;SORBI_3005G008400;SORBI_3005G017100;SORBI_3005G020000;SORBI_3005G031000;SORBI_3005G044900;SORBI_3005G081000;SORBI_3005G110400;SORBI_3005G110550;SORBI_3005G168300;SORBI_3005G210700;SORBI_3005G212201;SORBI_3006G058900;SORBI_3006G061000;SORBI_3006G069100;SORBI_3006G073600;SORBI_3006G085800;SORBI_3006G085900;SORBI_3006G089900;SORBI_3006G109400;SORBI_3006G114300;SORBI_3006G122100;SORBI_3006G128600;SORBI_3006G146400;SORBI_3006G146900;SORBI_3006G149500;SORBI_3006G153300;SORBI_3006G192600;SORBI_3006G204600;SORBI_3006G262800;SORBI_3006G266000;SORBI_3006G272300;SORBI_3006G273900;SORBI_3006G275900;SORBI_3007G006800;SORBI_3007G015300;SORBI_3007G023400;SORBI_3007G030000;SORBI_3007G033900;SORBI_3007G069101;SORBI_3007G091500;SORBI_3007G133500;SORBI_3007G134900;SORBI_3007G137800;SORBI_3007G168400;SORBI_3007G171500;SORBI_3007G172300;SORBI_3007G179600;SORBI_3007G182600;SORBI_3007G201400;SORBI_3007G208400;SORBI_3007G211500;SORBI_3007G216401;SORBI_3007G226400;SORBI_3008G009000;SORBI_3008G009300;SORBI_3008G009500;SORBI_3008G028400;SORBI_3008G031200;SORBI_3008G041000;SORBI_3008G047100;SORBI_3008G066900;SORBI_3008G072300;SORBI_3008G082800;SORBI_3008G088812;SORBI_3008G099900;SORBI_3008G100400;SORBI_3008G147400;SORBI_3008G149200;SORBI_3008G163400;SORBI_3008G170600;SORBI_3008G179000;SORBI_3009G013800;SORBI_3009G042500;SORBI_3009G054200;SORBI_3009G079400;SORBI_3009G095720;SORBI_3009G116400;SORBI_3009G134400;SORBI_3009G136200;SORBI_3009G140400;SORBI_3009G155400;SORBI_3009G176000;SORBI_3009G191400;SORBI_3009G205000;SORBI_3009G209400;SORBI_3009G210800;SORBI_3009G211100;SORBI_3009G238700;SORBI_3009G241200;SORBI_3009G245600;SORBI_3009G250700;SORBI_3009G251600;SORBI_3009G254200;SORBI_3010G011800;SORBI_3010G015200;SORBI_3010G015700;SORBI_3010G028700;SORBI_3010G031000;SORBI_3010G032300;SORBI_3010G032600;SORBI_3010G066900;SORBI_3010G067000;SORBI_3010G085000;SORBI_3010G088200;SORBI_3010G091500;SORBI_3010G092801;SORBI_3010G097700;SORBI_3010G098800;SORBI_3010G115400;SORBI_3010G134600;SORBI_3010G138700;SORBI_3010G153600;SORBI_3010G181000;SORBI_3010G189200;SORBI_3010G190900;SORBI_3010G197400;SORBI_3010G201266;SORBI_3010G227000;SORBI_3010G232700;SORBI_3010G244400;SORBI_3010G250500;SORBI_3010G255800;SORBI_3010G256000;SORBI_3010G258600","4.6574e-01;8.1457e-01;8.2057e-01;4.5083e-01;4.4192e-05;7.7138e-05;8.9968e-01;3.4695e-01;3.2130e-01;5.8596e-01;1.8581e-01;4.3069e-01;9.1594e-01;1.5254e-01;3.8231e-01;1.9858e-01;1.8407e-01;5.3800e-04;9.3573e-01;8.1335e-01;1.8669e-01;8.6040e-01;1.4213e-02;6.9987e-04;8.1624e-01;8.0355e-01;3.3797e-01;7.2895e-01;4.0246e-01;6.1534e-01;2.4434e-01;3.2307e-01;6.4672e-01;8.9876e-01;1.4619e-01;7.3676e-01;7.1647e-01;8.8432e-01;7.5963e-01;2.5335e-01;1.8291e-01;4.6349e-01;7.5511e-01;6.0039e-01;4.9798e-01;3.5854e-01;8.6657e-01;8.7457e-01;6.5912e-01;6.4702e-01;2.4700e-01;5.6491e-01;3.1265e-01;6.8110e-01;5.6602e-01;9.5908e-02;6.2360e-01;8.1464e-01;6.8427e-01;8.5074e-01;6.4990e-01;3.4849e-01;1.5248e-01;4.1500e-01;5.8110e-01;1.1630e-01;2.6247e-01;5.8640e-01;2.0642e-01;9.1559e-01;4.1669e-01;3.6973e-01;8.0661e-01;8.5745e-01;8.4561e-01;5.5795e-01;4.5359e-01;2.7212e-01;1.9391e-01;9.3476e-01;9.5048e-01;4.1036e-01;4.1466e-01;5.8915e-01;3.0603e-01;1.7929e-02;6.6112e-03;6.8597e-01;7.7668e-01;6.1106e-01;7.7604e-01;1.4264e-01;1.3848e-01;4.1682e-01;7.8228e-01;6.4881e-01;3.6254e-01;4.4346e-01;5.3224e-01;2.7363e-01;8.4116e-02;5.7943e-01;2.6798e-01;7.1056e-01;7.9467e-02;7.9467e-02;6.0331e-01;2.9452e-01;6.3751e-01;1.7507e-01;6.5012e-01;8.6542e-01;7.7977e-01;5.5673e-01;1.7389e-01;4.0812e-01;6.7567e-01;5.7348e-01;1.5903e-01;6.7026e-01;1.7844e-01;2.5351e-01;8.3457e-01;3.6044e-02;3.2797e-02;7.2073e-01;5.5916e-01;3.4138e-01;8.0154e-01;9.5177e-01;7.1974e-01;8.5124e-01;6.4146e-01;2.4951e-01;9.7087e-01;7.8773e-01;6.5778e-01;8.7438e-01;7.4858e-01;4.1263e-01;2.7869e-01;5.1623e-01;5.8463e-01;5.4708e-01;7.9057e-01;1.5799e-01;6.4881e-01;5.8615e-02;9.2650e-01;6.7548e-01;1.7313e-01;1.2769e-01;8.4475e-01;5.9026e-01;7.7972e-01;1.8963e-01;5.4451e-02;1.8366e-01;7.6574e-01;5.9890e-01;5.1940e-01;1.6970e-01;2.9263e-02;6.4882e-01;5.4321e-01;4.3101e-01;9.6885e-01;1.6126e-01;2.0398e-01;8.1507e-02;3.5843e-03;6.1562e-01;6.1652e-01;3.6003e-01;1.2580e-01;5.7623e-01;4.6918e-01;5.9652e-01;2.1996e-01;2.2470e-01;1.5102e-01;2.0255e-01;8.0947e-01;8.3584e-01;1.3899e-01;8.2058e-04;2.8744e-01;1.2610e-03;6.6177e-04;2.8523e-01;9.0608e-03;8.6381e-02;3.6930e-02;1.1760e-01;7.5669e-01;9.5963e-01;9.3269e-02;5.5431e-01;7.9852e-03;1.5816e-02;4.2004e-01;4.4332e-02;5.3286e-01;2.6171e-01;3.9022e-01;6.2471e-01;5.1872e-01;1.4532e-05;3.4356e-01;8.0462e-01;6.1343e-01;7.4528e-01;2.3640e-01;6.3684e-01;3.1345e-01;6.1025e-01;3.9048e-01;3.8879e-01;3.6796e-04;5.4298e-02;4.5816e-02;2.0297e-01;7.7405e-01;3.8508e-01;3.0927e-01;6.8084e-01;3.7659e-01;7.3750e-01;2.1598e-01;3.6198e-01;9.1941e-01;4.7223e-01;6.9674e-01;7.8234e-01;7.5696e-01;5.1603e-01;6.5777e-01;4.5602e-01;3.0020e-02;6.7685e-01;3.3503e-01;7.8174e-01;6.1170e-01;4.5629e-01;4.4102e-01;2.2631e-01;4.8601e-01;8.6130e-01;5.9070e-01;3.4123e-01;6.4096e-01;1.0913e-01;4.5000e-01;8.8714e-01;2.3208e-02;2.9280e-01;2.6746e-02;3.0253e-02;1.2000e-03;4.6105e-03;1.1545e-04;1.5258e-12;5.8840e-09;9.3112e-07;2.7754e-07;2.0370e-04;1.3811e-05;8.6875e-01;9.8596e-02;4.0281e-02;5.9220e-01;7.1275e-01;4.8789e-01;4.5991e-01;4.6689e-01;4.4961e-01;4.4686e-01;8.9950e-01;4.7864e-01;7.7083e-01;8.4468e-01;4.3594e-01;9.5400e-01;2.8128e-02;1.4126e-01;5.5325e-01;3.1455e-01;6.6647e-02;7.3136e-01;8.7505e-01;5.6928e-02;4.7625e-01;5.4766e-01;8.2002e-01;9.6674e-01;1.5177e-01;2.0518e-01;1.8202e-01",0.86608
"PYRUVDEHYD-PWY","pyruvate decarboxylation to acetyl CoA",18,"SORBI_3001G047600;SORBI_3001G155500;SORBI_3002G197500;SORBI_3002G259700;SORBI_3003G053600;SORBI_3003G152900;SORBI_3003G155300;SORBI_3004G093600;SORBI_3004G244000;SORBI_3005G044600;SORBI_3006G011200;SORBI_3007G134800;SORBI_3007G190100;SORBI_3008G059900;SORBI_3008G173000;SORBI_3009G052200;SORBI_3009G054600;SORBI_3010G101300","9.1858e-01;2.5872e-01;4.8819e-02;5.7581e-01;8.1156e-01;3.7312e-01;5.1937e-01;6.7300e-01;5.0619e-01;4.2707e-01;4.4154e-01;9.5148e-01;9.4748e-02;8.0289e-02;8.1522e-01;8.2254e-01;9.7106e-01;1.6142e-01",0.86838
"PWY-7546","diphthamide biosynthesis II (eukaryotes)",7,"SORBI_3001G017700;SORBI_3001G368700;SORBI_3001G368800;SORBI_3004G339100;SORBI_3004G343400;SORBI_3006G141000;SORBI_3010G217900","1.5718e-02;8.4290e-02;7.9128e-02;9.2046e-01;2.5582e-01;8.8350e-01;4.0864e-01",0.87022
"PWY-3341","L-proline biosynthesis III",5,"SORBI_3001G156100;SORBI_3003G356000;SORBI_3003G424300;SORBI_3007G143600;SORBI_3009G160100","6.0344e-01;5.4059e-01;8.2537e-01;8.5652e-01;4.6109e-02",0.87364
"PWY-4261","glycerol degradation I",4,"SORBI_3004G255900;SORBI_3006G029700;SORBI_3006G239800;SORBI_3007G103000","2.7596e-01;3.5243e-01;4.7067e-01;2.7793e-01",0.87941
"PWY-6363","D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation",7,"SORBI_3002G254700;SORBI_3004G023000;SORBI_3004G355000;SORBI_3007G198300;SORBI_3009G048900;SORBI_3009G211400;SORBI_3009G211600","5.3174e-01;9.4022e-01;7.7850e-01;8.6362e-01;1.1921e-01;2.9108e-04;5.4215e-02",0.88388
"PWY-7120","esterified suberin biosynthesis",5,"SORBI_3003G368100;SORBI_3003G408900;SORBI_3003G411100;SORBI_3005G122800;SORBI_3007G144400","3.7224e-01;6.3301e-01;8.9711e-01;7.5923e-01;5.9159e-01",0.88428
"PWY-6348","phosphate acquisition",33,"SORBI_3001G186800;SORBI_3001G382900;SORBI_3001G442000;SORBI_3001G442100;SORBI_3001G442200;SORBI_3001G442300;SORBI_3002G419500;SORBI_3003G279300;SORBI_3003G314400;SORBI_3004G097300;SORBI_3005G037850;SORBI_3005G107700;SORBI_3005G146300;SORBI_3005G147800;SORBI_3006G068100;SORBI_3007G171400;SORBI_3007G179266;SORBI_3008G036300;SORBI_3008G037000;SORBI_3008G113000;SORBI_3008G189500;SORBI_3009G070600;SORBI_3009G070700;SORBI_3009G070800;SORBI_3009G071000;SORBI_3009G071100;SORBI_3009G071300;SORBI_3009G130700;SORBI_3009G250300;SORBI_3010G029300;SORBI_3010G168200;SORBI_3010G205200;SORBI_3010G249300","4.3393e-01;1.4132e-01;9.2213e-01;9.2076e-01;9.4792e-01;8.5340e-01;8.0837e-01;7.7965e-01;6.3419e-01;2.4905e-01;8.0543e-01;7.0211e-01;8.2917e-01;3.6807e-01;4.1357e-04;5.3719e-04;2.6101e-02;8.9545e-01;4.6270e-01;1.4740e-01;3.4370e-01;6.9982e-01;4.8786e-01;7.7754e-01;7.9774e-01;5.8926e-01;4.7315e-01;8.5572e-01;9.9318e-07;6.6793e-01;6.2413e-01;3.9222e-01;4.6126e-01",0.89013
