"GENE","magma_p","magma_z","n_top_pathways","best_pathway_p","pathway_rank","pathways","gwas_min_p","gwas_rank","magma_rank","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"SORBI_3009G230400",3.1737e-12,7.5817,1,2.95356900515028e-12,23,"PWY-6949",3.1737e-12,49,49,TRUE,TRUE,TRUE,3,6.83468751022263
"SORBI_3009G230600",6.2395e-14,7.7781,0,NA,NA,NA,6.2395e-14,13,13,TRUE,TRUE,FALSE,2,6.8342276778529
"SORBI_3001G134200",0.000538,2.6694,1,5.95944405557204e-35,1,"PWY-3781",0.000538,689,689,FALSE,FALSE,TRUE,1,6.80815536393332
"SORBI_3009G218900",1.5166e-05,3.4355,4,1.22278577681068e-29,3,"PWY4FS-3; PWY-3385; PWY4FS-4; PWY4FS-2",1.5166e-05,381,381,FALSE,FALSE,TRUE,1,6.79152939326929
"SORBI_3009G227650",6.5869e-14,5.7138,0,NA,NA,NA,6.5869e-14,14,14,TRUE,TRUE,FALSE,2,6.7698583111101
"SORBI_3006G073600",0.00066177,3.5685,1,5.95944405557204e-35,1,"PWY-3781",0.00066177,729,729,FALSE,FALSE,TRUE,1,6.75913875111263
"SORBI_3001G212200",0.00069987,2.654,1,5.95944405557204e-35,1,"PWY-3781",0.00069987,745,745,FALSE,FALSE,TRUE,1,6.74028126225199
"SORBI_3006G058900",0.00082058,3.0812,1,5.95944405557204e-35,1,"PWY-3781",0.00082058,764,764,FALSE,FALSE,TRUE,1,6.7184070905972
"SORBI_3009G239500",3.126e-09,6.4011,5,1.00322616347272e-18,10,"PWY-5921; PWY-7185; PWY-7176; PWY-5687; GLUTAMINDEG-PWY",3.126e-09,126,126,TRUE,TRUE,TRUE,3,6.66123340725682
"SORBI_3009G230900",8.9936e-14,7.5586,0,NA,NA,NA,8.9936e-14,16,16,TRUE,TRUE,FALSE,2,6.65387441715473
"SORBI_3009G231000",8.9936e-14,7.6189,0,NA,NA,NA,8.9936e-14,16,16,TRUE,TRUE,FALSE,2,6.65387441715473
"SORBI_3002G379200",2.3443e-09,4.7322,2,1.02332476574331e-17,12,"PWY-6333; PWY-5486",2.3443e-09,115,115,TRUE,TRUE,TRUE,3,6.63971735328679
"SORBI_3009G209400",0.0012,2.3838,1,5.95944405557204e-35,1,"PWY-3781",0.0012,847,847,FALSE,FALSE,TRUE,1,6.62882698708716
"SORBI_3006G069100",0.001261,3.3973,1,5.95944405557204e-35,1,"PWY-3781",0.001261,860,860,FALSE,FALSE,TRUE,1,6.61559690526144
"SORBI_3009G238900",3.093e-08,5.2463,1,4.86497869768373e-21,6,"PWY-6549",3.093e-08,183,183,TRUE,TRUE,TRUE,3,6.5685041087097
"SORBI_3006G057200",9.3847e-14,5.5934,0,NA,NA,NA,9.3847e-14,18,18,TRUE,TRUE,FALSE,2,6.55156937225997
"SORBI_3002G379100",3.6903e-09,4.6715,2,1.02332476574331e-17,12,"PWY-6333; PWY-5486",3.6903e-09,128,128,TRUE,TRUE,TRUE,3,6.54669309469828
"SORBI_3009G220000",8.2762e-06,3.7561,1,4.44913711544666e-26,4,"HOMOSER-THRESYN-PWY",8.2762e-06,347,347,FALSE,FALSE,TRUE,1,6.51662785386174
"SORBI_3009G230200",1.0858e-13,7.7204,0,NA,NA,NA,1.0858e-13,19,19,TRUE,TRUE,FALSE,2,6.50460718056092
"SORBI_3009G232266",1.3383e-13,7.4677,0,NA,NA,NA,1.3383e-13,20,20,TRUE,TRUE,FALSE,2,6.46005439113862
